Año,Periodo,Euros (€/MWh)
2021, 01-01-2021,"42,51"
2021, 02-01-2021,"48,72"
2021, 03-01-2021,"46,93"
2021, 04-01-2021,"59,85"
2021, 05-01-2021,"67,55"
2021, 06-01-2021,"70,6"
2021, 07-01-2021,"88,93"
2021, 08-01-2021,"94,99"
2021, 09-01-2021,"80,66"
2021, 10-01-2021,"66,27"
2021, 11-01-2021,"82,45"
2021, 12-01-2021,"84,25"
2021, 13-01-2021,"89,94"
2021, 14-01-2021,"87,25"
2021, 15-01-2021,"78,42"
2021, 16-01-2021,"67,72"
2021, 17-01-2021,"64,51"
2021, 18-01-2021,"82,08"
2021, 19-01-2021,"76,47"
2021, 20-01-2021,"51,66"
2021, 21-01-2021,"41,64"
2021, 22-01-2021,"41,97"
2021, 23-01-2021,"27,5"
2021, 24-01-2021,"28,73"
2021, 25-01-2021,"59,42"
2021, 26-01-2021,"65,98"
2021, 27-01-2021,"59,77"
2021, 28-01-2021,"55,39"
2021, 29-01-2021,"47,39"
2021, 30-01-2021,"4,19"
2021, 31-01-2021,"1,42"
2021, 01-02-2021,"11,9"
2021, 02-02-2021,"26,34"
2021, 03-02-2021,"36,26"
2021, 04-02-2021,"52,2"
2021, 05-02-2021,"50,99"
2021, 06-02-2021,"36,02"
2021, 07-02-2021,"12,58"
2021, 08-02-2021,"8,3"
2021, 09-02-2021,"7,1"
2021, 10-02-2021,"26,26"
2021, 11-02-2021,48
2021, 12-02-2021,"36,94"
2021, 13-02-2021,"36,9"
2021, 14-02-2021,"13,38"
2021, 15-02-2021,"14,85"
2021, 16-02-2021,"23,98"
2021, 17-02-2021,"41,93"
2021, 18-02-2021,"36,18"
2021, 19-02-2021,"22,27"
2021, 20-02-2021,"2,19"
2021, 21-02-2021,"5,67"
2021, 22-02-2021,"39,39"
2021, 23-02-2021,"43,65"
2021, 24-02-2021,"24,82"
2021, 25-02-2021,"45,83"
2021, 26-02-2021,"46,09"
2021, 27-02-2021,"29,24"
2021, 28-02-2021,"18,53"
2021, 01-03-2021,"42,24"
2021, 02-03-2021,"52,67"
2021, 03-03-2021,"53,24"
2021, 04-03-2021,"55,43"
2021, 05-03-2021,"52,45"
2021, 06-03-2021,"45,07"
2021, 07-03-2021,"47,05"
2021, 08-03-2021,"54,43"
2021, 09-03-2021,"56,88"
2021, 10-03-2021,"55,87"
2021, 11-03-2021,"40,76"
2021, 12-03-2021,"40,16"
2021, 13-03-2021,"27,75"
2021, 14-03-2021,"24,54"
2021, 15-03-2021,"47,59"
2021, 16-03-2021,"34,51"
2021, 17-03-2021,"17,35"
2021, 18-03-2021,"32,77"
2021, 19-03-2021,"29,66"
2021, 20-03-2021,"22,19"
2021, 21-03-2021,"30,28"
2021, 22-03-2021,"55,79"
2021, 23-03-2021,"64,47"
2021, 24-03-2021,"64,82"
2021, 25-03-2021,"66,35"
2021, 26-03-2021,"60,31"
2021, 27-03-2021,"41,11"
2021, 28-03-2021,"38,6"
2021, 29-03-2021,"45,69"
2021, 30-03-2021,"53,53"
2021, 31-03-2021,"55,16"
2021, 01-04-2021,"52,12"
2021, 02-04-2021,51
2021, 03-04-2021,"35,18"
2021, 04-04-2021,"27,74"
2021, 05-04-2021,"44,55"
2021, 06-04-2021,"55,97"
2021, 07-04-2021,"66,11"
2021, 08-04-2021,"69,78"
2021, 09-04-2021,"71,87"
2021, 10-04-2021,"65,01"
2021, 11-04-2021,"52,01"
2021, 12-04-2021,"63,04"
2021, 13-04-2021,"75,5"
2021, 14-04-2021,"73,96"
2021, 15-04-2021,"68,19"
2021, 16-04-2021,"68,93"
2021, 17-04-2021,"64,19"
2021, 18-04-2021,"64,54"
2021, 19-04-2021,"79,03"
2021, 20-04-2021,"78,58"
2021, 21-04-2021,"79,6"
2021, 22-04-2021,"74,41"
2021, 23-04-2021,"68,56"
2021, 24-04-2021,"57,31"
2021, 25-04-2021,"61,09"
2021, 26-04-2021,"75,99"
2021, 27-04-2021,"77,95"
2021, 28-04-2021,"74,4"
2021, 29-04-2021,"74,67"
2021, 30-04-2021,"79,29"
2021, 01-05-2021,"59,36"
2021, 02-05-2021,"61,39"
2021, 03-05-2021,"73,54"
2021, 04-05-2021,"81,27"
2021, 05-05-2021,"75,71"
2021, 06-05-2021,"73,11"
2021, 07-05-2021,"73,5"
2021, 08-05-2021,"47,25"
2021, 09-05-2021,"10,53"
2021, 10-05-2021,"59,26"
2021, 11-05-2021,"54,05"
2021, 12-05-2021,"53,04"
2021, 13-05-2021,"59,8"
2021, 14-05-2021,"71,53"
2021, 15-05-2021,"43,16"
2021, 16-05-2021,"26,65"
2021, 17-05-2021,"76,82"
2021, 18-05-2021,"77,65"
2021, 19-05-2021,"77,11"
2021, 20-05-2021,"79,79"
2021, 21-05-2021,"69,54"
2021, 22-05-2021,"66,41"
2021, 23-05-2021,"68,67"
2021, 24-05-2021,"67,4"
2021, 25-05-2021,"76,64"
2021, 26-05-2021,"80,72"
2021, 27-05-2021,"86,23"
2021, 28-05-2021,"88,95"
2021, 29-05-2021,"81,77"
2021, 30-05-2021,"71,93"
2021, 31-05-2021,"88,08"
2021, 01-06-2021,"86,56"
2021, 02-06-2021,"84,85"
2021, 03-06-2021,"79,8"
2021, 04-06-2021,"80,59"
2021, 05-06-2021,"76,17"
2021, 06-06-2021,"68,87"
2021, 07-06-2021,"79,69"
2021, 08-06-2021,"82,33"
2021, 09-06-2021,"81,6"
